data;hora de saída;hora de chegada;prazo;morada de partida;morada de chegada;distância;quilometragem no conta-quilómetros (km);consumo médio (l/100);preço do combustível (EUR/l);custo (EUR);categoria
25/11/2020;18:28;18:44;00:16;;;7;250;8,8;1,430 €;0,881 €;IKEA
26/11/2020;07:35;07:48;00:13;;;8;258;6,4;1,440 €;0,737 €;IKEA
26/11/2020;17:49;18:04;00:15;;;7;265;8;1,440 €;0,806 €;IKEA
27/11/2020;07:39;07:52;00:13;;;8;272;6,4;1,430 €;0,732 €;IKEA
27/11/2020;17:16;17:32;00:16;;;7;280;8,2;1,430 €;0,821 €;IKEA
27/11/2020;23:37;00:17;00:40;;;55;335;7;1,430 €;5,506 €;Porto
28/11/2020;00:55;01:35;00:39;;;55;390;7;1,430 €;5,506 €;Porto
28/11/2020;07:22;07:34;00:12;;;8;398;6,4;1,430 €;0,732 €;IKEA
28/11/2020;16:56;17:09;00:13;;;7;405;8,5;1,430 €;0,851 €;IKEA
29/11/2020;09:44;09:58;00:13;;;8;413;7,3;1,430 €;0,835 €;Lazer
29/11/2020;11:23;11:42;00:19;;;7;420;9,1;1,430 €;0,911 €;Lazer
30/11/2020;07:35;07:49;00:14;;;8;428;7,4;1,440 €;0,852 €;IKEA
30/11/2020;17:18;17:30;00:12;;;7;435;8,5;1,440 €;0,857 €;
01/12/2020;11:35;11:39;00:04;;;1;436;13,6;1,450 €;0,197 €;Lazer
01/12/2020;11:54;12:01;00:07;;;4;440;6,8;1,450 €;0,394 €;Lazer
01/12/2020;12:19;12:22;00:03;;;1;441;11,7;1,450 €;0,170 €;Lazer
01/12/2020;12:37;12:54;00:17;;;6;447;7,6;1,450 €;0,661 €;Lazer
02/12/2020;07:40;07:51;00:11;;;8;455;6,5;1,450 €;0,754 €;IKEA
02/12/2020;14:05;15:16;01:11;;;56;511;5,3;1,450 €;4,304 €;Viana 
02/12/2020;15:20;15:25;00:05;;;1;512;11,2;1,450 €;0,162 €;Viana 
02/12/2020;15:50;15:58;00:08;;;4;516;7,4;1,450 €;0,429 €;Viana 
02/12/2020;16:33;17:12;00:39;;;4;519;9,4;1,450 €;0,545 €;Viana 
02/12/2020;19:43;19:48;00:04;;;1;520;16,4;1,450 €;0,238 €;Viana 
02/12/2020;19:55;19:57;00:02;;;1;520;12,3;1,450 €;0,178 €;Viana 
02/12/2020;20:41;21:47;01:06;;;57;578;5,9;1,450 €;4,876 €;Viana 
02/12/2020;21:48;21:55;00:07;;;4;582;5,5;1,450 €;0,319 €;Lazer
02/12/2020;22:58;23:16;00:18;;;9;590;7,1;1,450 €;0,927 €;Lazer
03/12/2020;07:28;07:41;00:13;;;8;598;6;1,450 €;0,696 €;
03/12/2020;17:08;17:23;00:15;;;7;605;8,4;1,450 €;0,853 €;
04/12/2020;07:37;07:48;00:11;;;8;613;6,2;1,450 €;0,719 €;
04/12/2020;17:51;18:11;00:20;;;7;620;8,4;1,450 €;0,853 €;
10/03/2021;17:22;17:33;00:11;;;7;2630;9,2;1,590 €;1,024 €;
11/03/2021;07:14;07:25;00:11;;;8;2637;6,2;1,590 €;0,789 €;
11/03/2021;17:50;18:04;00:14;;;7;2644;9,8;1,590 €;1,091 €;
12/03/2021;07:27;07:38;00:11;;;8;2652;6,2;1,600 €;0,794 €;
12/03/2021;16:57;17:08;00:11;;;7;2659;7,7;1,600 €;0,862 €;
